TIMESTAMP,AGENTNAME,ORDERBOOK,INSTRUMENT_NAME,COUNTRY,SECTOR_LONGNAME,SUBSECTOR_LONGNAME,INDUSTRY_LONGNAME,HOLDING_RATIO,HOLDING,OB_HOLDING,INVESTS,LASTFIXEDPRICE,ESG,E,S,G,ESG_RATIO,E_RATIO,S_RATIO,G_RATIO
2019-04-07 15:29:43.426,mm,FR0000071946,ALTEN,FR,TECHNOLOGY,INFORMATION TECHNOLOGY,COMPUTER SERVICES SOFTWARE & SYSTEMS,0.104267,5595980,583480,29174,20,61.11,64.33,63,56,6.37175637,6.70749611,6.568821,5.838952
2019-04-07 15:27:56.642,mm,FR0000120404,ACCOR,FR,CONSUMER DISCRETIONARY,LEISURE,HOTELS & MOTELS,0.102269,5595980,572300,28615,20,62.33,61.67,60.33,65,6.37442677,6.30692923,6.16988877,6.647485
2019-04-07 15:29:40.512,mm,FR0000120073,AIR LIQUIDE,FR,MATERIALS & PROCESSING,CHEMICALS & SYNTHETICS,SPECIALTY CHEMICALS,0.057930,5595980,324180,16209,20,61.78,59.67,62,63.67,3.5789154,3.4566831,3.59166,3.6884031
2019-04-07 15:29:49.818,mm,FR0000121014,LVMH,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,TEXTILE APPAREL & SHOES,0.028215,5595980,157896,13158,12,58.83,61.67,60.5,54.33,1.65988845,1.74001905,1.7070075,1.53292095
2019-04-07 15:29:54.988,mm,FR0000120172,CARREFOUR,FR,CONSUMER STAPLES,PERSONAL CARE DRUGS & GROCERY,DRUG & GROCERY CHAINS,0.062548,5595980,350020,17501,20,63.83,62.67,64.17,64.67,3.99243884,3.91988316,4.01370516,4.04497916
2019-04-07 15:29:11.748,mm,FR0000120271,TOTALENERGIES,FR,ENERGY,NON-RENEWABLE ENERGY,INTEGRATED OIL,-0.003338,5595980,-18680,-934,20,63.28,64,64.83,61,-0.21122864,-0.213632,-0.21640254,-0.203618
2019-04-07 15:26:30.288,mm,FR0000121329,THALES,FR,PRODUCER DURABLES,TRANSPORTATION & FREIGHT,AEROSPACE,0.002128,5595980,11913,1083,11,61.89,64.67,62,59,0.13170192,0.13761776,0.131936,0.125552
2019-04-07 15:29:55.834,mm,FR0000130452,EIFFAGE,FR,PRODUCER DURABLES,MANUFACTURING & PRODUCTION,CONSTRUCTION,0.023150,5595980,129547,11777,11,57.83,55.67,60.17,57.67,1.3387645,1.2887605,1.3929355,1.3350605
2019-04-07 15:28:51.914,mm,FR0000120321,L'OREAL,FR,CONSUMER DISCRETIONARY,CONSUMER PRODUCT,COSMETICS,-0.029862,5595980,-167112,-15192,11,69.61,70.67,69.5,68.67,-2.07869382,-2.11034754,-2.075409,-2.05062354
2019-04-07 15:29:37.786,mm,FR0000184798,ORPEA,FR,HEALTH CARE SERVICES,HEALTH CARE SERVICES,HEALTH CARE FACILITIES,-0.052655,5595980,-294660,-29466,10,52.11,54.33,48.67,53.33,-2.74385205,-2.86074615,-2.56271885,-2.80809115
